CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50014362,URUBAMBA,Queens,8620,37TH AVE,11372,7186722224,Peruvian,04/09/19,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,,,08/28/2021,Cycle Inspection / Initial Inspection,40.75015354,-73.8803194,403,21,27900,4036257,4014740001,QN28
41626598,SAL'S FAMILY PIZZA,Manhattan,384,BROOME STREET,10013,2129250440,Pizza,09/19/2018,Establishment re-opened by DOHMH.,18C,"Notice of the Department of Board of Health mutilated, obstructed, or removed.",Not Critical,,,,08/28/2021,Administrative Miscellaneous / Reopening Inspection,40.72040228,-73.99657281,102,1,4100,1077744,1004800041,MN24
41320240,THREE BROTHER'S PIZZERIA,Queens,10901,GUY R BREWER BOULEVARD,11433,7185262779,Pizza,07/17/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12,A,07/17/2017,08/28/2021,Cycle Inspection / Initial Inspection,40.6947411,-73.78990413,412,27,25800,4216706,4101810063,QN01
41247493,MY PLACE FAMILY PIZZA,Bronx,240,EAST  198 STREET,10458,7185622399,Pizza,03/30/2018,Establishment re-opened by DOHMH.,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,P,03/30/2018,08/28/2021,Cycle Inspection / Reopening Inspection,40.86930679,-73.88955913,207,15,40501,2017054,2033010054,BX05
50056949,SABI SUSHI,Manhattan,1,NEW YORK PLZ,10004,6468632374,Japanese,01/24/2018,Violations were cited in the following area(s).,02D,"Precooked potentially hazardous food from commercial food processing establishment that is supposed to be heated, but is not heated to 140º F within 2 hours.",Critical,7,A,01/24/2018,08/28/2021,Cycle Inspection / Re-inspection,40.70253319,-74.01256178,101,1,900,1000005,1000047501,MN25
50059238,SANGARITA'S,Queens,4002,BELL BLVD,11361,7184282727,Tapas,08/28/2019,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",Not Critical,,,,08/28/2021,Trans Fat / Initial Inspection,40.76414551,-73.77127718,411,19,112300,4137556,4062370027,QN46
50081804,NEW SUNNY EAST 88,Manhattan,1680,1 AVENUE,10128,2128769332,Chinese,03/12/20,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25,,,08/28/2021,Cycle Inspection / Initial Inspection,40.77787711,-73.94862706,108,5,14402,1050607,1015670046,MN32
41618228,FIVE GUYS FAMOUS BURGERS AND FRIES,Manhattan,343,7 AVENUE,10001,2125649804,Hamburgers,02/23/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,02/23/2018,08/28/2021,Cycle Inspection / Initial Inspection,40.74798424,-73.9927963,105,3,9500,1015136,1008050002,MN17
50001301,JS PERRY'S DINER,Bronx,2783,3 AVENUE,10455,7182924385,American,08/29/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,08/29/2019,08/28/2021,Cycle Inspection / Initial Inspection,40.8148407,-73.91993519,201,8,6500,2000000,2023270007,BX34
50011938,"C & Y NOODLE, HOME NOODLE",Queens,41-28,MAIN STREET,11355,7188889051,Chinese,11/29/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,17,,,08/28/2021,Cycle Inspection / Initial Inspection,40.75734855,-73.82907564,407,20,84900,4312192,4050420035,QN22
41160885,HOP LEE RESTAURANT,Manhattan,16,MOTT STREET,10013,2129626475,Chinese,05/15/2018,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,56,,,08/28/2021,Cycle Inspection / Re-inspection,40.71414425,-73.99873026,103,1,2900,1001686,1001620009,MN27
40384340,FRIEND OF A FARMER,Manhattan,77,IRVING PLACE,10003,2124772188,American,05/24/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,32,,,08/28/2021,Cycle Inspection / Initial Inspection,40.73690034,-73.98664868,105,2,5000,1017899,1008740065,MN21
50085330,AMPLE HILLS CREAMERY,Manhattan,141,8 AVENUE,10011,2126453200,Frozen Desserts,07/16/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,07/16/2019,08/28/2021,Cycle Inspection / Initial Inspection,40.74157819,-74.0012017,104,3,8300,1013054,1007400037,MN13
40402337,J & M BAKERY,Queens,30-oct,36 AVENUE,11106,7187841511,Bakery Products/Desserts,09/20/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,22,,,08/28/2021,Cycle Inspection / Initial Inspection,40.75686186,-73.930379,401,26,5100,4007881,4005990130,QN68
50006236,FRENCH LOUIE,Brooklyn,320,ATLANTIC AVENUE,11201,7189351200,French,06/26/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,06/26/2019,08/28/2021,Cycle Inspection / Re-inspection,40.68816986,-73.98806114,302,33,4300,3000840,3001820014,BK38
50037946,OLE MEXICAN GRILLE,Queens,12611,15TH AVE,11356,7183530457,Mexican,01/18/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,01/18/2018,08/28/2021,Cycle Inspection / Initial Inspection,40.78497103,-73.84192853,407,19,92500,4098463,4040930048,QN23
50037946,OLE MEXICAN GRILLE,Queens,12611,15TH AVE,11356,7183530457,Mexican,01/18/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,01/18/2018,08/28/2021,Cycle Inspection / Initial Inspection,40.78497103,-73.84192853,407,19,92500,4098463,4040930048,QN23
50050729,EL MEKKAH BAR & GRILL,Brooklyn,277,WYCKOFF AVENUE,11237,9175183475,American,10/19/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,25,,,08/28/2021,Cycle Inspection / Initial Inspection,40.70087635,-73.91350514,304,37,44100,3075983,3033200002,BK77
50045780,FOTEH'S TANDOORI,Brooklyn,2650,CONEY ISLAND AVENUE,11223,7189758787,Russian,07/19/2017,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,29,,,08/28/2021,Cycle Inspection / Initial Inspection,40.59211562,-73.96073175,315,48,39000,3194972,3071840139,BK25
50005163,FORTUNE BAKERY,Brooklyn,5612,8 AVENUE,11220,7185677880,Chinese,09/27/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,29,,,08/28/2021,Cycle Inspection / Initial Inspection,40.63762242,-74.00735027,307,38,10400,3015537,3008420042,BK34
41046225,WINNERS BAR,Queens,8267,BROADWAY,11373,7185050403,Bottled Beverages,07/24/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,07/24/2018,08/28/2021,Cycle Inspection / Initial Inspection,40.74173591,-73.88085424,404,25,46900,4039026,4015610001,QN29
40383825,RUSSIAN SAMOVAR,Manhattan,256,WEST   52 STREET,10019,2127570168,Russian,08/16/2021,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,21,,,08/28/2021,Cycle Inspection / Initial Inspection,40.76310426,-73.9841923,105,3,13100,1024821,1010230059,MN17
50009411,DELICIAS CALENAS #4,Queens,9418,SUTPHIN BLVD,11435,7182062262,Spanish,11/07/18,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,35,,,08/28/2021,Cycle Inspection / Initial Inspection,40.69883588,-73.80682686,412,27,20800,4213959,4099930025,QN61
50051888,WINGSTOP,Staten Island,1756,FOREST AVENUE,10303,7329865811,Chicken,10/10/18,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,10/10/18,08/28/2021,Cycle Inspection / Initial Inspection,40.6249676,-74.14745666,501,49,30301,5150289,5014790001,SI12
41395517,CITI FIELD PRESS KITCHEN,Queens,0,126th st & ROOSEVELT AVENUE,,7185958100,American,06/13/2017,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5,A,06/13/2017,08/28/2021,Cycle Inspection / Initial Inspection,0,0,,,,,4,
50018394,HADI RESTAURANT,Brooklyn,683,CONEY ISLAND AVENUE,11218,3472401175,Middle Eastern,11/25/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,39,,,08/28/2021,Cycle Inspection / Initial Inspection,40.64072011,-73.96919227,314,40,152200,3118216,3051410143,BK42
50080167,CAFECITO DEL ARTE,Manhattan,181,EAST  108 STREET,10029,3472397357,Coffee/Tea,07/09/19,Violations were cited in the following area(s).,20D,"“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,,,,08/28/2021,Administrative Miscellaneous / Re-inspection,40.79312494,-73.9443067,111,8,17200,1052139,1016360132,MN33
50041493,THAI MAX,Bronx,200,BAYCHESTER AVENUE,10475,9179811148,Thai,02/12/18,Violations were cited in the following area(s).,20F,Current letter grade sign not posted.,Not Critical,,,,08/28/2021,Administrative Miscellaneous / Compliance Inspection,40.86590541,-73.83042975,210,12,46201,2120098,2051410006,BX13
50109916,OSTERIA CARLINA,Manhattan,455,HUDSON STREET,10014,2487194222,,01/01/00,,,,Not Applicable,,,,08/28/2021,,40.73127415,-74.00669674,102,3,6900,1010413,1006030065,MN23
50001398,GRACE STREET,Manhattan,17,WEST   32 STREET,10001,6466123821,Coffee/Tea,06/06/18,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,7,,,08/28/2021,Cycle Inspection / Initial Inspection,40.74745939,-73.98620987,105,4,7600,1015849,1008340029,MN17
41432588,TOASTIES,Manhattan,23,EAST   51 STREET,10022,63717676__,American,12/06/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,12/06/17,08/28/2021,Cycle Inspection / Initial Inspection,40.75866172,-73.97554103,105,4,10200,1035470,1012870014,MN17
41433057,NEW SHUN WEI RESTAURANT,Manhattan,45,CATHERINE STREET,10038,2129647590,Chinese,07/26/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23,B,07/26/2019,08/28/2021,Cycle Inspection / Re-inspection,40.71189076,-73.99689428,103,1,800,1003323,1002760053,MN27
50010395,MCDONALD'S,Manhattan,208,DYCKMAN STREET,10040,2125692909,Hamburgers,09/13/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,A,09/13/2019,08/28/2021,Cycle Inspection / Initial Inspection,40.86502192,-73.92695358,112,10,28700,1064227,1021750049,MN35
50049598,LAST STOP BAR & GRILL,Bronx,4609,WHITE PLAINS ROAD,10470,3474274543,Latin American,04/28/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,,,08/28/2021,Inter-Agency Task Force / Initial Inspection,40.90234036,-73.851307,212,11,41400,2071123,2050830061,BX62
50011127,MINT MASALA,Manhattan,95,MACDOUGAL STREET,10012,2127772888,Indian,12/17/2019,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13,A,12/17/2019,08/28/2021,Cycle Inspection / Re-inspection,40.72939143,-74.00100665,102,1,6500,1008735,1005420053,MN23
50077226,OKAWA,Queens,7705A,37TH AVE,11372,7186721818,Japanese,11/19/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,11/19/2019,08/28/2021,Cycle Inspection / Re-inspection,40.74927553,-73.88880968,403,25,28700,4029588,4012770036,QN28
50046901,WIN WAY CHINESE RESTAURANT,Brooklyn,2830,CONEY ISLAND AVENUE,11235,7188918838,Chinese,05/12/16,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,45,,,08/28/2021,Pre-permit (Operational) / Initial Inspection,40.58756189,-73.9603816,313,48,37000,3196031,3072240100,BK19
50036360,HOUSEMAN RESTAURANT,Manhattan,508,GREENWICH STREET,10013,2126410654,American,02/01/18,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,13,A,02/01/18,08/28/2021,Cycle Inspection / Initial Inspection,40.72571583,-74.00914952,102,3,3700,1010349,1005950076,MN24
50065563,BERIKONI,Brooklyn,125,BRIGHTON BEACH AVENUE,11235,6465730689,Middle Eastern,04/22/2019,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,38,,,08/28/2021,Cycle Inspection / Initial Inspection,40.57635437,-73.96732861,313,48,36200,3340585,3086690055,BK19
41719517,TORST,Brooklyn,615,MANHATTAN AVENUE,11222,7183896034,American,11/28/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,11/28/2018,08/28/2021,Cycle Inspection / Re-inspection,40.72335877,-73.95056691,301,33,56900,3066710,3026790013,BK76
50044248,678 DELI,Queens,8820,VAN WYCK EXPY,11418,7188801496,Sandwiches,07/31/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,25,,,08/28/2021,Cycle Inspection / Initial Inspection,40.70212937,-73.81671014,409,29,14202,4196421,4093420033,QN54
50017467,MIS TIERRAS COLOMBIANAS,Queens,5408,ROOSEVELT AVE,11377,7186727272,Latin American,01/06/20,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,,,08/28/2021,Cycle Inspection / Initial Inspection,40.74477923,-73.91034066,402,26,25100,4030988,4013230089,QN63
50033800,"CAFE, 911 MUSEUM",Manhattan,180,GREENWICH STREET,10007,2123128800,Coffee/Tea,12/02/16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,12/02/16,08/28/2021,Cycle Inspection / Re-inspection,40.71120944,-74.01230371,101,1,1300,1088798,1000580001,MN25
50002052,OTTO'S TACOS,Manhattan,141,SECOND AVENUE,10003,6466784018,Tex-Mex,08/22/2017,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,19,,,08/28/2021,Cycle Inspection / Initial Inspection,40.72901197,-73.98737909,103,2,3800,1006746,1004640034,MN22
41466918,NUEVO MEXICO MEXICAN RESTAURANT,Brooklyn,489,5 AVENUE,11215,7188320050,Mexican,03/05/18,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,10,A,03/05/18,08/28/2021,Cycle Inspection / Initial Inspection,40.66759223,-73.98760344,306,39,13900,3022922,3010230004,BK37
50001962,AROME,Manhattan,325,BROADWAY,10007,2122337447,American,02/11/19,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,57,,,08/28/2021,Cycle Inspection / Initial Inspection,40.71599139,-74.00478692,101,1,3300,1079211,1001520025,MN24
50063498,CAFE 48,Queens,21209,48TH AVE,11364,9173633861,Chinese,08/31/2017,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,20,,,08/28/2021,Pre-permit (Operational) / Initial Inspection,40.7553054,-73.76892901,411,19,144700,4157308,4073290047,QN46
40525767,CAPRI II PIZZA,Bronx,149,DREISER LOOP,10475,7186713822,Pizza,02/05/19,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,17,,,08/28/2021,Cycle Inspection / Initial Inspection,40.87651579,-73.82991803,210,12,46201,2097469,2051410500,BX13
50075895,TEAS ME DEAR,Queens,39-01,MAIN STREET,11354,7183532302,"Juice, Smoothies, Fruit Salads",05/21/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,A,05/21/2018,08/28/2021,Pre-permit (Operational) / Initial Inspection,40.76016119,-73.83042205,407,20,87100,4112490,4049800005,QN22
40567533,THE THIRSTY SCHOLAR,Manhattan,155,2 AVENUE,10003,2127776514,American,03/05/19,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,59,,,08/28/2021,Cycle Inspection / Initial Inspection,40.72950324,-73.9870218,103,2,4000,1006797,1004650049,MN22
50038802,REGO PARK COFFEE SHOP,Queens,9414,63RD DR,11374,7184592233,American,09/06/18,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,23,,,08/28/2021,Cycle Inspection / Initial Inspection,40.72880751,-73.86314759,406,29,69300,4072133,4030830056,QN18
50080295,PARADISE LOUNGE,Queens,678,WOODWARD AVENUE,11385,2159324545,American,11/27/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,11/27/2019,08/28/2021,Cycle Inspection / Re-inspection,40.7051799,-73.90619949,405,34,54900,4082941,4034680039,QN20
